,status,elevation,name,country,coordinates,location,year,type,vei,total_deaths_description
324,Historical,3763,Fuego,Guatemala,"[14.473, -90.88]",Guatemala,1971,Stratovolcano,3.0,Few (~1 to 50 deaths)
325,Historical,728,"Negro, Cerro",Nicaragua,"[12.506, -86.702]",Nicaragua,1992,Cinder cone,3.0,Few (~1 to 50 deaths)
329,Historical,1703,Egon,Indonesia,"[-8.67, 122.45]",Lesser Sunda Is,2004,Stratovolcano,1.0,Few (~1 to 50 deaths)
333,Historical,329,Santorini,Greece,"[36.404, 25.396]",Greece,-1610,Shield volcano,7.0,Many (~101 to 1000 deaths)
338,Historical,1491,Hekla,Iceland,"[63.98, -19.7]",Iceland-S,1510,Stratovolcano,4.0,Few (~1 to 50 deaths)
340,Historical,3078,Cereme,Indonesia,"[-6.892, 108.4]",Java,1698,Stratovolcano,3.0,Few (~1 to 50 deaths)
341,Historical,400,Taal,Philippines,"[14.002, 120.993]",Luzon-Philippines,1716,Stratovolcano,4.0,Few (~1 to 50 deaths)
345,Historical,5321,Ruiz,Colombia,"[4.895, -75.322]",Colombia,1845,Stratovolcano,3.0,Many (~101 to 1000 deaths)
346,Historical,1700,Kirishima,Japan,"[31.93, 130.87]",Kyushu-Japan,1895,Shield volcano,2.0,Few (~1 to 50 deaths)
351,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1946,Stratovolcano,2.0,Few (~1 to 50 deaths)
352,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1953,Stratovolcano,3.0,Some (~51 to 100 deaths)
354,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1961,Complex volcano,2.0,Few (~1 to 50 deaths)
355,Historical,2077,Tokachi,Japan,"[43.42, 142.68]",Hokkaido-Japan,1962,Stratovolcano,3.0,Few (~1 to 50 deaths)
356,Historical,3142,Agung,Indonesia,"[-8.342, 115.508]",Lesser Sunda Is,1963,Stratovolcano,3.0,Some (~51 to 100 deaths)
357,Historical,244,Didicas,Philippines,"[19.077, 122.202]",Luzon-N of,1969,Compound volcano,2.0,Few (~1 to 50 deaths)
358,Historical,1784,Karangetang [Api Siau],Indonesia,"[2.78, 125.48]",Sangihe Is-Indonesia,1997,Stratovolcano,1.0,Few (~1 to 50 deaths)
359,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,2000,Stratovolcano,3.0,Few (~1 to 50 deaths)
362,Historical,3332,Raung,Indonesia,"[-8.125, 114.042]",Java,1593,Stratovolcano,5.0,Many (~101 to 1000 deaths)
364,Historical,641,Serua,Pacific Ocean,"[-6.3, 130.0]",Banda Sea,1692,Stratovolcano,4.0,Some (~51 to 100 deaths)
365,Historical,2351,Pico,Portugal,"[38.47, -28.4]",Azores,1718,Stratovolcano,2.0,Few (~1 to 50 deaths)
367,Historical,329,Santorini,Greece,"[36.404, 25.396]",Greece,1866,Shield volcano,2.0,Few (~1 to 50 deaths)
369,Historical,1750,Bagana,Papua New Guinea,"[-6.14, 155.195]",Bougainville-SW Paci,1883,Lava cone,3.0,Some (~51 to 100 deaths)
370,Historical,260,Niuafo'ou,Tonga,"[-15.6, -175.63]",Tonga-SW Pacific,1886,Shield volcano,4.0,Few (~1 to 50 deaths)
371,Historical,1700,Kirishima,Japan,"[31.93, 130.87]",Kyushu-Japan,1896,Shield volcano,2.0,Few (~1 to 50 deaths)
372,Historical,1397,Pelee,Martinique,"[14.82, -61.17]",W Indies,1902,Stratovolcano,4.0,Very Many (~1001 or more deaths)
374,Historical,2665,Papandayan,Indonesia,"[-7.32, 107.73]",Java,1923,Stratovolcano,1.0,Few (~1 to 50 deaths)
375,Historical,329,Santorini,Greece,"[36.404, 25.396]",Greece,1928,Shield volcano,2.0,Few (~1 to 50 deaths)
377,Historical,3142,Agung,Indonesia,"[-8.342, 115.508]",Lesser Sunda Is,1963,Stratovolcano,5.0,Very Many (~1001 or more deaths)
378,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1963,Stratovolcano,2.0,Few (~1 to 50 deaths)
379,Historical,400,Taal,Philippines,"[14.002, 120.993]",Luzon-Philippines,1965,Stratovolcano,4.0,Many (~101 to 1000 deaths)
380,Historical,279,Vestmannaeyjar,Iceland,"[63.43, -20.28]",Iceland-S,1973,Submarine volcano,3.0,Few (~1 to 50 deaths)
381,Historical,1784,Karangetang [Api Siau],Indonesia,"[2.78, 125.48]",Sangihe Is-Indonesia,1974,Stratovolcano,3.0,Few (~1 to 50 deaths)
382,Historical,1222,Kilauea,United States,"[19.425, -155.292]",Hawaiian Is,1975,Shield volcano,0.0,Few (~1 to 50 deaths)
383,Historical,1150,"Chichon, El",Mexico,"[17.36, -93.228]",Mexico,1982,Tuff cone,5.0,Few (~1 to 50 deaths)
384,Radiocarbon,3011,Oku Volc Field,Cameroon,"[6.25, 10.5]",Africa-W,1986,Maar,3.0,Very Many (~1001 or more deaths)
385,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1992,Stratovolcano,3.0,Few (~1 to 50 deaths)
386,Historical,361,Yasur,Vanuatu,"[-19.52, 169.425]",Vanuatu-SW Pacific,1994,Stratovolcano,3.0,Few (~1 to 50 deaths)
395,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1669,Stratovolcano,3.0,Few (~1 to 50 deaths)
398,Historical,3776,Fuji,Japan,"[35.35, 138.73]",Honshu-Japan,1707,Stratovolcano,4.0,Few (~1 to 50 deaths)
399,Historical,2565,Dieng Volc Complex,Indonesia,"[-7.2, 109.92]",Java,1826,Complex volcano,2.0,Some (~51 to 100 deaths)
400,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1832,Stratovolcano,2.0,Some (~51 to 100 deaths)
401,Historical,872,Cosiguina,Nicaragua,"[12.98, -87.57]",Nicaragua,1835,Stratovolcano,5.0,Few (~1 to 50 deaths)
403,Historical,1715,Gamalama,Indonesia,"[0.8, 127.325]",Halmahera-Indonesia,1871,Stratovolcano,2.0,Few (~1 to 50 deaths)
404,Historical,934,Sinarka,Russia,"[48.875, 154.175]",Kuril Is,1872,Stratovolcano,4.0,Many (~101 to 1000 deaths)
405,Historical,4150,Dona Juana,Colombia,"[1.47, -76.92]",Colombia,1899,Stratovolcano,4.0,Some (~51 to 100 deaths)
406,Historical,1281,Vesuvius,Italy,"[40.821, 14.426]",Italy,1905,Complex volcano,2.0,Few (~1 to 50 deaths)
407,Historical,1222,Kilauea,United States,"[19.425, -155.292]",Hawaiian Is,1924,Shield volcano,2.0,Few (~1 to 50 deaths)
408,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1931,Complex volcano,3.0,Few (~1 to 50 deaths)
409,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1947,Stratovolcano,2.0,Few (~1 to 50 deaths)
411,Historical,1717,Batur,Indonesia,"[-8.242, 115.375]",Lesser Sunda Is,1963,Caldera,2.0,Few (~1 to 50 deaths)
413,Historical,637,Iya,Indonesia,"[-8.88, 121.63]",Lesser Sunda Is,1969,Stratovolcano,3.0,Few (~1 to 50 deaths)
414,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1988,Stratovolcano,3.0,Few (~1 to 50 deaths)
415,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1990,Caldera,2.0,Few (~1 to 50 deaths)
418,Historical,5023,Tungurahua,Ecuador,"[-1.467, -78.442]",Ecuador,1999,Stratovolcano,3.0,Few (~1 to 50 deaths)
419,Historical,321,White Island,New Zealand,"[-37.52, 177.18]",New Zealand,2019,Stratovolcano,2.0,Few (~1 to 50 deaths)
422,Historical,1140,Komaga-take,Japan,"[42.07, 140.68]",Hokkaido-Japan,1640,Stratovolcano,5.0,Many (~101 to 1000 deaths)
423,Historical,423,Aoga-shima,Japan,"[32.45, 139.77]",Izu Is-Japan,1785,Stratovolcano,3.0,Many (~101 to 1000 deaths)
424,Historical,1320,Awu,Indonesia,"[3.67, 125.5]",Sangihe Is-Indonesia,1812,Stratovolcano,3.0,Many (~101 to 1000 deaths)
425,Historical,260,Niuafo'ou,Tonga,"[-15.6, -175.63]",Tonga-SW Pacific,1853,Shield volcano,0.0,Few (~1 to 50 deaths)
426,Historical,2145,Sorikmarapi,Indonesia,"[0.686, 99.539]",Sumatra,1892,Stratovolcano,2.0,Many (~101 to 1000 deaths)
428,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1938,Complex volcano,1.0,Few (~1 to 50 deaths)
429,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1941,Complex volcano,2.0,Few (~1 to 50 deaths)
430,Historical,3860,Michoacan-Guanajuato,Mexico,"[19.48, -102.25]",Mexico,1943,Cinder cone,4.0,Few (~1 to 50 deaths)
431,Historical,2565,Dieng Volc Complex,Indonesia,"[-7.2, 109.92]",Java,1944,Complex volcano,2.0,Many (~101 to 1000 deaths)
432,Historical,758,Oshima,Japan,"[34.73, 139.38]",Izu Is-Japan,1953,Stratovolcano,1.0,Few (~1 to 50 deaths)
434,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1990,Caldera,2.0,Few (~1 to 50 deaths)
435,Historical,1486,Pinatubo,Philippines,"[15.13, 120.35]",Luzon-Philippines,1991,Stratovolcano,6.0,Many (~101 to 1000 deaths)
436,Historical,1486,Pinatubo,Philippines,"[15.13, 120.35]",Luzon-Philippines,1992,Stratovolcano,1.0,Few (~1 to 50 deaths)
438,Historical,1807,Manam,Papua New Guinea,"[-4.1, 145.061]",New Guinea-NE of,1996,Stratovolcano,3.0,Few (~1 to 50 deaths)
440,Historical,2365,Santa Ana,El Salvador,"[13.853, -89.63]",El Salvador,2005,Stratovolcano,3.0,Few (~1 to 50 deaths)
446,Historical,5023,Tungurahua,Ecuador,"[-1.467, -78.442]",Ecuador,-1010,Stratovolcano,5.0,Many (~101 to 1000 deaths)
448,Historical,1512,Katla,Iceland,"[63.63, -19.05]",Iceland-S,1311,Subglacial volcano,4.0,Some (~51 to 100 deaths)
449,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1587,Stratovolcano,4.0,Few (~1 to 50 deaths)
450,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1716,Stratovolcano,2.0,Few (~1 to 50 deaths)
452,Historical,5911,Cotopaxi,Ecuador,"[-0.677, -78.436]",Ecuador,1742,Stratovolcano,3.0,Many (~101 to 1000 deaths)
453,Historical,1715,Gamalama,Indonesia,"[0.8, 127.325]",Halmahera-Indonesia,1772,Stratovolcano,3.0,Few (~1 to 50 deaths)
454,Historical,1580,Lokon-Empung,Indonesia,"[1.358, 124.792]",Sulawesi-Indonesia,1775,Stratovolcano,3.0,Few (~1 to 50 deaths)
455,Holocene,5165,Ararat,Turkey,"[39.7, 44.28]",Turkey,1840,Stratovolcano,3.0,Very Many (~1001 or more deaths)
456,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1871,Stratovolcano,3.0,Few (~1 to 50 deaths)
457,Historical,400,Taal,Philippines,"[14.002, 120.993]",Luzon-Philippines,1874,Stratovolcano,2.0,Few (~1 to 50 deaths)
458,Historical,813,Krakatau,Indonesia,"[-6.102, 105.423]",Indonesia,1883,Caldera,6.0,Very Many (~1001 or more deaths)
459,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1885,Stratovolcano,2.0,Some (~51 to 100 deaths)
461,Historical,2565,Dieng Volc Complex,Indonesia,"[-7.2, 109.92]",Java,1939,Complex volcano,1.0,Few (~1 to 50 deaths)
463,Fumarolic,2329,Ambalatungan Group,Philippines,"[17.32, 121.1]",Luzon-Philippines,1952,Compound volcano,1.0,Few (~1 to 50 deaths)
465,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1978,Stratovolcano,3.0,Few (~1 to 50 deaths)
467,Historical,926,Stromboli,Italy,"[38.789, 15.213]",Italy,1986,Stratovolcano,2.0,Few (~1 to 50 deaths)
470,Historical,5426,Popocatepetl,Mexico,"[19.023, -98.622]",Mexico,1996,Stratovolcano,3.0,Few (~1 to 50 deaths)
471,Historical,5023,Tungurahua,Ecuador,"[-1.467, -78.442]",Ecuador,2006,Stratovolcano,3.0,Few (~1 to 50 deaths)
476,Historical,1280,Long Island,Papua New Guinea,"[-5.358, 147.12]",New Guinea-NE of,1660,Complex volcano,6.0,Very Many (~1001 or more deaths)
478,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1864,Stratovolcano,2.0,Some (~51 to 100 deaths)
479,Historical,2815,Ragang,Philippines,"[7.67, 124.5]",Mindanao-Philippines,1873,Stratovolcano,2.0,Few (~1 to 50 deaths)
480,Historical,403,Tori-shima,Japan,"[30.48, 140.32]",Izu Is-Japan,1902,Stratovolcano,3.0,Many (~101 to 1000 deaths)
481,Historical,1501,Alayta,Ethiopia,"[12.88, 40.57]",Africa-NE,1907,Shield volcano,2.0,Few (~1 to 50 deaths)
482,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1909,Stratovolcano,2.0,Many (~101 to 1000 deaths)
483,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1919,Stratovolcano,4.0,Very Many (~1001 or more deaths)
485,Historical,1950,Izalco,El Salvador,"[13.813, -89.633]",El Salvador,1920,Stratovolcano,3.0,Few (~1 to 50 deaths)
487,Historical,2847,Villarrica,Chile,"[-39.42, -71.93]",Chile-C,1949,Stratovolcano,3.0,Some (~51 to 100 deaths)
488,Historical,3763,Fuego,Guatemala,"[14.473, -90.88]",Guatemala,1963,Stratovolcano,3.0,Few (~1 to 50 deaths)
489,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1968,Stratovolcano,3.0,Few (~1 to 50 deaths)
490,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1985,Stratovolcano,3.0,Some (~51 to 100 deaths)
491,Historical,2891,Marapi,Indonesia,"[-0.381, 100.473]",Sumatra,1992,Complex volcano,2.0,Few (~1 to 50 deaths)
492,Historical,926,Stromboli,Italy,"[38.789, 15.213]",Italy,2001,Stratovolcano,2.0,Few (~1 to 50 deaths)
493,Historical,1807,Manam,Papua New Guinea,"[-4.1, 145.061]",New Guinea-NE of,2004,Stratovolcano,4.0,Few (~1 to 50 deaths)
497,Historical,450,Ilopango,El Salvador,"[13.672, -89.053]",El Salvador,450,Caldera,6.0,Very Many (~1001 or more deaths)
499,Historical,1700,Kirishima,Japan,"[31.93, 130.87]",Kyushu-Japan,1716,Shield volcano,3.0,Few (~1 to 50 deaths)
500,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1721,Complex volcano,1.0,Few (~1 to 50 deaths)
501,Historical,4835,Kliuchevskoi,Russia,"[56.057, 160.638]",Kamchatka,1762,Stratovolcano,2.0,Few (~1 to 50 deaths)
503,Historical,2565,Dieng Volc Complex,Indonesia,"[-7.2, 109.92]",Java,1786,Complex volcano,2.0,Few (~1 to 50 deaths)
505,Historical,2523,Hualalai,United States,"[19.692, -155.87]",Hawaiian Is,1800,Shield volcano,0.0,Few (~1 to 50 deaths)
508,Historical,688,Rabaul,Papua New Guinea,"[-4.271, 152.203]",New Britain-SW Pac,1878,Pyroclastic shield,3.0,Few (~1 to 50 deaths)
509,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1901,Stratovolcano,3.0,Some (~51 to 100 deaths)
510,Historical,400,Taal,Philippines,"[14.002, 120.993]",Luzon-Philippines,1911,Stratovolcano,3.0,Very Many (~1001 or more deaths)
515,Historical,731,Usu,Japan,"[42.53, 140.83]",Hokkaido-Japan,1944,Stratovolcano,2.0,Few (~1 to 50 deaths)
516,Historical,1491,Hekla,Iceland,"[63.98, -19.7]",Iceland-S,1947,Stratovolcano,4.0,Few (~1 to 50 deaths)
518,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1979,Stratovolcano,2.0,Few (~1 to 50 deaths)
519,Historical,2168,Galunggung,Indonesia,"[-7.25, 108.05]",Java,1982,Stratovolcano,4.0,Some (~51 to 100 deaths)
520,Historical,1657,Arenal,Costa Rica,"[10.463, -84.703]",Costa Rica,1988,Stratovolcano,3.0,Few (~1 to 50 deaths)
524,Historical,1512,Katla,Iceland,"[63.63, -19.05]",Iceland-S,1262,Subglacial volcano,3.0,Few (~1 to 50 deaths)
525,Historical,1491,Hekla,Iceland,"[63.98, -19.7]",Iceland-S,1300,Stratovolcano,4.0,Many (~101 to 1000 deaths)
526,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1331,Caldera,2.0,Few (~1 to 50 deaths)
529,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1911,Complex volcano,2.0,Many (~101 to 1000 deaths)
530,Historical,3850,Colima,Mexico,"[19.514, -103.62]",Mexico,1913,Stratovolcano,4.0,Few (~1 to 50 deaths)
531,Historical,1730,Cleveland,United States,"[52.82, -169.95]",Aleutian Is,1944,Stratovolcano,3.0,Few (~1 to 50 deaths)
534,Historical,2426,La Palma,Spain,"[28.58, -17.83]",Canary Is,1971,Stratovolcano,2.0,Few (~1 to 50 deaths)
536,Historical,1220,Soufriere St. Vincent,St. Vincent & the Grenadines,"[13.33, -61.18]",W Indies,1979,Stratovolcano,3.0,Few (~1 to 50 deaths)
538,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1984,Stratovolcano,3.0,Few (~1 to 50 deaths)
539,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1990,Caldera,2.0,Few (~1 to 50 deaths)
541,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1994,Stratovolcano,3.0,Few (~1 to 50 deaths)
545,Historical,1496,Aoba,Vanuatu,"[-15.4, 167.83]",Vanuatu-SW Pacific,2018,Shield volcano,3.0,Few (~1 to 50 deaths)
549,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1853,Stratovolcano,3.0,Few (~1 to 50 deaths)
550,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1872,Stratovolcano,4.0,Many (~101 to 1000 deaths)
556,Historical,1114,Carran-Los Venados,Chile,"[-40.35, -72.07]",Chile-C,1955,Pyroclastic cone,4.0,Few (~1 to 50 deaths)
557,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1961,Stratovolcano,3.0,Few (~1 to 50 deaths)
558,Historical,1657,Arenal,Costa Rica,"[10.463, -84.703]",Costa Rica,1975,Stratovolcano,3.0,Few (~1 to 50 deaths)
563,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1994,Stratovolcano,3.0,Some (~51 to 100 deaths)
564,Historical,2455,Yake-dake,Japan,"[36.22, 137.58]",Honshu-Japan,1995,Stratovolcano,1.0,Few (~1 to 50 deaths)
568,Historical,3763,Fuego,Guatemala,"[14.473, -90.88]",Guatemala,2018,Stratovolcano,2.0,Many (~101 to 1000 deaths)
571,Historical,2119,Oraefajokull,Iceland,"[64.0, -16.65]",Iceland-SE,1727,Stratovolcano,4.0,Few (~1 to 50 deaths)
572,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1826,Stratovolcano,3.0,Few (~1 to 50 deaths)
573,Historical,4170,Mauna Loa,United States,"[19.475, -155.608]",Hawaiian Is,1868,Shield volcano,2.0,Some (~51 to 100 deaths)
574,Historical,1703,Lewotobi,Indonesia,"[-8.53, 122.775]",Lesser Sunda Is,1869,Stratovolcano,2.0,Few (~1 to 50 deaths)
575,Anthropology,400,Dakataua,Papua New Guinea,"[-5.056, 150.108]",New Britain-SW Pac,1895,Caldera,2.0,Few (~1 to 50 deaths)
576,Historical,1718,Adatara,Japan,"[37.62, 140.28]",Honshu-Japan,1900,Stratovolcano,2.0,Some (~51 to 100 deaths)
578,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1902,Stratovolcano,2.0,Few (~1 to 50 deaths)
579,Historical,1703,Lewotobi,Indonesia,"[-8.53, 122.775]",Lesser Sunda Is,1907,Stratovolcano,2.0,Few (~1 to 50 deaths)
580,Historical,1320,Awu,Indonesia,"[3.67, 125.5]",Sangihe Is-Indonesia,1913,Stratovolcano,2.0,Many (~101 to 1000 deaths)
581,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1930,Complex volcano,3.0,Few (~1 to 50 deaths)
584,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1938,Stratovolcano,2.0,Few (~1 to 50 deaths)
586,Historical,1324,Mahawu,Indonesia,"[1.358, 124.858]",Sulawesi-Indonesia,1958,Stratovolcano,2.0,Few (~1 to 50 deaths)
588,Historical,875,Paluweh,Indonesia,"[-8.32, 121.708]",Lesser Sunda Is,1964,Stratovolcano,2.0,Few (~1 to 50 deaths)
589,Historical,3374,Spurr,United States,"[61.3, -152.25]",Alaska-SW,1992,Stratovolcano,4.0,Few (~1 to 50 deaths)
592,Historical,1657,Arenal,Costa Rica,"[10.463, -84.703]",Costa Rica,2000,Stratovolcano,3.0,Few (~1 to 50 deaths)
593,Historical,2552,Pacaya,Guatemala,"[14.381, -90.601]",Guatemala,2010,Complex volcano,1.0,Few (~1 to 50 deaths)
600,Historical,742,Pago,Papua New Guinea,"[-5.58, 150.52]",New Britain-SW Pac,-4000,Caldera,6.0,Few (~1 to 50 deaths)
604,Historical,1281,Vesuvius,Italy,"[40.821, 14.426]",Italy,787,Complex volcano,3.0,Few (~1 to 50 deaths)
605,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1536,Stratovolcano,3.0,Few (~1 to 50 deaths)
608,Historical,3332,Raung,Indonesia,"[-8.125, 114.042]",Java,1730,Stratovolcano,3.0,Some (~51 to 100 deaths)
609,Historical,5911,Cotopaxi,Ecuador,"[-0.677, -78.436]",Ecuador,1742,Stratovolcano,3.0,Many (~101 to 1000 deaths)
610,Historical,400,Taal,Philippines,"[14.002, 120.993]",Luzon-Philippines,1749,Stratovolcano,3.0,Few (~1 to 50 deaths)
611,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1848,Stratovolcano,2.0,Few (~1 to 50 deaths)
612,Historical,1625,Dubbi,Eritrea,"[13.58, 41.808]",Africa-NE,1861,Stratovolcano,3.0,Many (~101 to 1000 deaths)
614,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1897,Stratovolcano,3.0,Many (~101 to 1000 deaths)
616,Historical,3058,Nyamuragira,"Congo, DRC","[-1.408, 29.2]",Africa-C,1912,Shield volcano,3.0,Few (~1 to 50 deaths)
617,Historical,5426,Popocatepetl,Mexico,"[19.023, -98.622]",Mexico,1919,Stratovolcano,1.0,Some (~51 to 100 deaths)
620,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1929,Stratovolcano,2.0,Few (~1 to 50 deaths)
621,Historical,403,Tori-shima,Japan,"[30.48, 140.32]",Izu Is-Japan,1939,Stratovolcano,2.0,Few (~1 to 50 deaths)
622,Historical,1784,Karangetang [Api Siau],Indonesia,"[2.78, 125.48]",Sangihe Is-Indonesia,1940,Stratovolcano,2.0,Few (~1 to 50 deaths)
623,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1947,Complex volcano,2.0,Few (~1 to 50 deaths)
624,Historical,758,Oshima,Japan,"[34.73, 139.38]",Izu Is-Japan,1957,Stratovolcano,2.0,Few (~1 to 50 deaths)
625,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1979,Caldera,2.0,Few (~1 to 50 deaths)
628,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1994,Caldera,1.0,Few (~1 to 50 deaths)
629,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,2001,Stratovolcano,3.0,Few (~1 to 50 deaths)
630,Historical,1565,Bulusan,Philippines,"[12.77, 124.05]",Luzon-Philippines,2011,Stratovolcano,2.0,Few (~1 to 50 deaths)
635,Historical,5321,Ruiz,Colombia,"[4.895, -75.322]",Colombia,1595,Stratovolcano,4.0,Many (~101 to 1000 deaths)
636,Historical,640,Banda Api,Pacific Ocean,"[-4.525, 129.871]",Banda Sea,1598,Caldera,3.0,Few (~1 to 50 deaths)
637,Historical,3332,Raung,Indonesia,"[-8.125, 114.042]",Java,1638,Stratovolcano,4.0,Very Many (~1001 or more deaths)
639,Historical,1725,Grimsvotn,Iceland,"[64.42, -17.33]",Iceland-NE,1684,Caldera,2.0,Few (~1 to 50 deaths)
641,Historical,640,Banda Api,Pacific Ocean,"[-4.525, 129.871]",Banda Sea,1694,Caldera,3.0,Some (~51 to 100 deaths)
642,Historical,1281,Vesuvius,Italy,"[40.821, 14.426]",Italy,1794,Complex volcano,3.0,Many (~101 to 1000 deaths)
643,Historical,1053,San Jorge,Portugal,"[38.65, -28.08]",Azores,1800,Fissure vent,1.0,Few (~1 to 50 deaths)
644,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1816,Caldera,2.0,Few (~1 to 50 deaths)
645,Historical,2799,Ijen,Indonesia,"[-8.058, 114.242]",Java,1817,Stratovolcano,2.0,Some (~51 to 100 deaths)
647,Historical,618,E-san,Japan,"[41.8, 141.17]",Hokkaido-Japan,1846,Stratovolcano,1.0,Many (~101 to 1000 deaths)
650,Historical,841,Novarupta,United States,"[58.27, -155.16]",Alaska Peninsula,1912,Caldera,6.0,Few (~1 to 50 deaths)
653,Historical,2565,Dieng Volc Complex,Indonesia,"[-7.2, 109.92]",Java,1964,Complex volcano,1.0,Many (~101 to 1000 deaths)
656,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1976,Stratovolcano,2.0,Many (~101 to 1000 deaths)
657,Historical,1784,Karangetang [Api Siau],Indonesia,"[2.78, 125.48]",Sangihe Is-Indonesia,1976,Stratovolcano,2.0,Few (~1 to 50 deaths)
658,Historical,3772,Santa Maria,Guatemala,"[14.756, -91.552]",Guatemala,1978,Stratovolcano,3.0,Few (~1 to 50 deaths)
659,Historical,4835,Kliuchevskoi,Russia,"[56.057, 160.638]",Kamchatka,1983,Stratovolcano,2.0,Few (~1 to 50 deaths)
660,Historical,758,Oshima,Japan,"[34.73, 139.38]",Izu Is-Japan,1986,Stratovolcano,3.0,Few (~1 to 50 deaths)
661,Historical,1784,Karangetang [Api Siau],Indonesia,"[2.78, 125.48]",Sangihe Is-Indonesia,1992,Stratovolcano,2.0,Few (~1 to 50 deaths)
663,Historical,875,Paluweh,Indonesia,"[-8.32, 121.708]",Lesser Sunda Is,2013,Stratovolcano,3.0,Few (~1 to 50 deaths)
666,Historical,813,Krakatau,Indonesia,"[-6.102, 105.423]",Indonesia,2018,Caldera,1.0,Many (~101 to 1000 deaths)
669,Historical,1117,Sakura-jima,Japan,"[31.58, 130.67]",Kyushu-Japan,764,Stratovolcano,4.0,Some (~51 to 100 deaths)
670,Historical,1117,Sakura-jima,Japan,"[31.58, 130.67]",Kyushu-Japan,766,Stratovolcano,3.0,Many (~101 to 1000 deaths)
671,Historical,1357,Makian,Indonesia,"[0.32, 127.4]",Halmahera-Indonesia,1760,Stratovolcano,4.0,Very Many (~1001 or more deaths)
673,Historical,1222,Kilauea,United States,"[19.425, -155.292]",Hawaiian Is,1790,Shield volcano,4.0,Very Many (~1001 or more deaths)
674,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1803,Complex volcano,2.0,Few (~1 to 50 deaths)
677,Historical,1651,Lamongan,Indonesia,"[-8.0, 113.342]",Java,1869,Stratovolcano,2.0,Few (~1 to 50 deaths)
679,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1900,Complex volcano,2.0,Few (~1 to 50 deaths)
